Name,Organization,id,Description,Translation Required,Spanish_Description,locations,address_1 (from address) (from locations) 2,city (from address) (from locations) 3,Zip Code (from address) (from locations) 3,latitude (from locations) 2,longitude (from locations) 2,url,email,active,application_process,service_options,payment_options,taxonomy,phones,schedule,weekday (from schedule) 3,opens_at (from schedule) 3,closes_at (from schedule) 3,add_day (from schedule) 4,add_hours (from schedule) 4,med_area,legal_area,cash_area,dv_area,foodstamp_area,freefood_area,details,service_area,Last updated,Updated By,owner,status,Auto-Last updated,Auto-Last updated by,Questions/Confusions/Observations
Mary Chapa Academy,Greenfield Union,4734,"Summer Student Meal Service: We will reopen nutrition services on August 12th with our “grab
and go” meal service from 8:00-10:00am at ALL school sites every day of the week from Monday - 
Friday, with exceptions only for observed holidays. Please drive by and pick up your daily meals
as we look forward to seeing you! 
",,"Servicio de comidas para estudiantes de verano: Reabriremos los servicios de nutrición el 12
de agosto con nuestro servicio de comidas ""grab and go"" de 8:00 a 10:00 a.m. en TODAS las
escuelas todos los días de la semana de lunes a viernes, con excepciones sólo para los días
festivos observados. Por favor, pasen por aquí y recojan sus comidas diarias ya que esperamos
verlos",490 El Camino Real,490 El Camino Real,Greenfield,93927,36.3265284,-121.2480981,https://a4b724d7-80c7-4a73-bd69-282945aab74a.filesusr.com/ugd/a54334_83bc46e4c9ee475a8dca340de9a58dcb.pdf,jhull@montereycoe.org,Open,,"In person,Curbside Pickup",Free,School Meals,(831) 674-2840,Greenfield Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",8:00 AM,10:00 AM,,,,,,,,"Breakfast,Lunch",All Children,,11/2/2020,Andy,Andy Chen,Vetted,11/2/2020 10:48pm,Andy Chen,NOTE: do NOT get confused with the other Greenfield Union School District in Bakersfield.
Oak Avenue School,Greenfield Union,4735,"Summer Student Meal Service: We will reopen nutrition services on August 12th with our “grab
and go” meal service from 8:00-10:00am at ALL school sites every day of the week from Monday - 
Friday, with exceptions only for observed holidays. Please drive by and pick up your daily meals
as we look forward to seeing you! 
",,"Servicio de comidas para estudiantes de verano: Reabriremos los servicios de nutrición el 12
de agosto con nuestro servicio de comidas ""grab and go"" de 8:00 a 10:00 a.m. en TODAS las
escuelas todos los días de la semana de lunes a viernes, con excepciones sólo para los días
festivos observados. Por favor, pasen por aquí y recojan sus comidas diarias ya que esperamos
verlos",1239 Oak Avenue,1239 Oak Avenue,Greenfield,93927,36.3163629,-121.2515729,https://a4b724d7-80c7-4a73-bd69-282945aab74a.filesusr.com/ugd/a54334_83bc46e4c9ee475a8dca340de9a58dcb.pdf,jhull@montereycoe.org,Open,,"In person,Curbside Pickup",Free,School Meals,(831) 674-2840,Greenfield Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",8:00 AM,10:00 AM,,,,,,,,"Breakfast,Lunch",All Children,,11/2/2020,Andy,Andy Chen,Vetted,11/2/2020 10:48pm,Andy Chen,NOTE: do NOT get confused with the other Greenfield Union School District in Bakersfield.
Vista Verde Middle School,Greenfield Union,4736,"Summer Student Meal Service: We will reopen nutrition services on August 12th with our “grab
and go” meal service from 8:00-10:00am at ALL school sites every day of the week from Monday - 
Friday, with exceptions only for observed holidays. Please drive by and pick up your daily meals
as we look forward to seeing you! 
",,"Servicio de comidas para estudiantes de verano: Reabriremos los servicios de nutrición el 12
de agosto con nuestro servicio de comidas ""grab and go"" de 8:00 a 10:00 a.m. en TODAS las
escuelas todos los días de la semana de lunes a viernes, con excepciones sólo para los días
festivos observados. Por favor, pasen por aquí y recojan sus comidas diarias ya que esperamos
verlos",1199 Elm Avenue,1199 Elm Avenue,Greenfield,93927,36.313564,-121.248298,https://a4b724d7-80c7-4a73-bd69-282945aab74a.filesusr.com/ugd/a54334_83bc46e4c9ee475a8dca340de9a58dcb.pdf,jhull@montereycoe.org,Open,,"Curbside Pickup,In person",Free,School Meals,(831) 674-2840,Greenfield Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",8:00 AM,10:00 AM,,,,,,,,"Breakfast,Lunch",All Children,,11/2/2020,Andy,Andy Chen,Vetted,11/2/2020 10:48pm,Andy Chen,NOTE: do NOT get confused with the other Greenfield Union School District in Bakersfield.
Del Rey Elementary,King City Union,4737,,,,502 King Street,502 King Street,King City,93930,36.2154302,-121.1351512,,jhull@montereycoe.org,Closed,,,Free,School Meals,,Greenfield Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",8:00 AM,10:00 AM,,,,,,,,"Breakfast,Lunch",All Children,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:27pm,Andy Chen,
King City Arts Magnet,King City Union,4738,Only new students to our district and incoming Kinder students will need to fill out the household income verification form listed below.  ,,Solo los estudiantes nuevos de nuestro distrito y los estudiantes de kínder que ingresan deberán completar el formulario de verificación de ingresos del hogar que se indica a continuación.,415 Pearl Street,415 Pearl Street,King City,93930,36.2098056,-121.127289,http://www.kcusd.org/food-service.html,cartea@kcusd.org,Open,Complete form in advance,Curbside Pickup,Free,School Meals,(831) 385-4212,King City Arts Magnet,"Monday, Wednesday, Friday",10:45 AM,12:45 PM,,,,,,,,"Breakfast,Lunch",Only Students Enrolled in District,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:13pm,Andy Chen,
Marina Child Center,Monterey Peninsula Unified,4739,,,,3066 Lake Drive,3066 Lake Drive,Marina,93933,36.684642,-121.8066326,https://www.mpusd.net/apps/pages/index.jsp?uREC_ID=1012823&type=d&pREC_ID=1321388,jhull@montereycoe.org,Closed,,,Free,School Meals,,Monterey Peninsula Unified Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch,Snack",All Children,Monterey County,10/31/2020,Emily,Emily Yang,Vetted,10/31/2020 1:43am,Emily Yang,
Seaside Child Center,Monterey Peninsula Unified,4740,,,,1450 Elm Avenue,1450 Elm Avenue,Seaside,93955,36.6073732,-121.8349153,https://www.mpusd.net/apps/pages/index.jsp?uREC_ID=1012823&type=d&pREC_ID=1321388,jhull@montereycoe.org,Closed,,,Free,School Meals,,Monterey Peninsula Unified Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch,Snack",All Children,Monterey County,10/31/2020,Emily,Emily Yang,Vetted,10/31/2020 1:43am,Emily Yang,
Crumpton Elementary,Monterey Peninsula Unified,4741,Grab and go meals. No ID or student name needed.,,Comidas para llevar. No se requiere identificación ni el nombre del estudiante. ,460 Carmel Ave,460 Carmel Ave,Marina,93933,36.6755067,-121.784682,https://www.mpusd.net/apps/pages/index.jsp?uREC_ID=1012823&type=d&pREC_ID=1321388,jhull@montereycoe.org,Open,,Curbside Pickup,Free,School Meals,,Monterey Peninsula Unified Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch,Snack",All Children,Monterey County,10/31/2020,Emily,Emily Yang,Vetted,10/31/2020 1:43am,Emily Yang,
Del Rey Woods Elementary,Monterey Peninsula Unified,4742,Grab and go meals. No ID or student name needed.,,Comidas para llevar. No se requiere identificación ni el nombre del estudiante. ,1281 Plumas Ave,1281 Plumas Ave,Seaside,93955,36.5982711,-121.8395618,https://www.mpusd.net/apps/pages/index.jsp?uREC_ID=1012823&type=d&pREC_ID=1321388,jhull@montereycoe.org,Open,,Curbside Pickup,Free,School Meals,,Monterey Peninsula Unified Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch,Snack",All Children,Monterey County,10/31/2020,Emily,Emily Yang,Vetted,10/31/2020 1:43am,Emily Yang,
Dr. Martin Luther King Jr: School of the Arts,Monterey Peninsula Unified,4743,Grab and go meals. No ID or student name needed.,,Comidas para llevar. No se requiere identificación ni el nombre del estudiante. ,1713 Broadway Ave,1713 Broadway Ave,Seaside,93955,36.6087348,-121.8268985,https://www.mpusd.net/apps/pages/index.jsp?uREC_ID=1012823&type=d&pREC_ID=1321388,jhull@montereycoe.org,Open,,Curbside Pickup,Free,School Meals,,Monterey Peninsula Unified Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch,Snack",All Children,Monterey County,10/31/2020,Emily,Emily Yang,Vetted,10/31/2020 1:43am,Emily Yang,
Highland Elementary,Monterey Peninsula Unified,4744,Grab and go meals. No ID or student name needed.,,Comidas para llevar. No se requiere identificación ni el nombre del estudiante. ,1650 Sonoma Ave,1650 Sonoma Ave,Seaside,93955,36.6058312,-121.8293987,https://www.mpusd.net/apps/pages/index.jsp?uREC_ID=1012823&type=d&pREC_ID=1321388,jhull@montereycoe.org,Open,,Curbside Pickup,Free,School Meals,,Monterey Peninsula Unified Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch,Snack",All Children,Monterey County,10/31/2020,Emily,Emily Yang,Vetted,10/31/2020 1:43am,Emily Yang,
King Elementary,Monterey Peninsula Unified,4745,Grab and go meals. No ID or student name needed.,,Comidas para llevar. No se requiere identificación ni el nombre del estudiante. ,1713 Broadway,1713 Broadway,Seaside,93940,36.6087348,-121.8268985,https://www.mpusd.net/apps/pages/index.jsp?uREC_ID=1012823&type=d&pREC_ID=1321388,jhull@montereycoe.org,Closed,,Curbside Pickup,Free,School Meals,,Monterey Peninsula Unified Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch,Snack",All Children,Monterey County,10/31/2020,Emily,Emily Yang,Vetted,10/31/2020 1:43am,Emily Yang,
Marshall Elementary,Monterey Peninsula Unified,4746,Grab and go meals. No ID or student name needed.,,Comidas para llevar. No se requiere identificación ni el nombre del estudiante. ,300 Normandy Road,300 Normandy Road,Seaside,93940,36.6365387,-121.8068033,https://www.mpusd.net/apps/pages/index.jsp?uREC_ID=1012823&type=d&pREC_ID=1321388,jhull@montereycoe.org,Open,,Curbside Pickup,Free,School Meals,,Monterey Peninsula Unified Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch,Snack",All Children,Monterey County,10/31/2020,Emily,Emily Yang,Vetted,10/31/2020 1:43am,Emily Yang,
La Mesa Elementary,Monterey Peninsula Unified,4747,Grab and go meals. No ID or student name needed.,,Comidas para llevar. No se requiere identificación ni el nombre del estudiante. ,1 La Mesa Way,1 La Mesa Way,Monterey,93940,36.58165,-121.879046,https://www.mpusd.net/apps/pages/index.jsp?uREC_ID=1012823&type=d&pREC_ID=1321388,jhull@montereycoe.org,Open,,Curbside Pickup,Free,School Meals,,Monterey Peninsula Unified Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch,Snack",All Children,Monterey County,10/31/2020,Emily,Emily Yang,Vetted,10/31/2020 1:43am,Emily Yang,
Marina Vista Arts Academy,Monterey Peninsula Unified,4748,Grab and go meals. No ID or student name needed.,,Comidas para llevar. No se requiere identificación ni el nombre del estudiante. ,390 Carmel Ave,390 Carmel Ave,Marina,93933,36.677969,-121.7894286,https://www.mpusd.net/apps/pages/index.jsp?uREC_ID=1012823&type=d&pREC_ID=1321388,jhull@montereycoe.org,Open,,Curbside Pickup,Free,School Meals,,Monterey Peninsula Unified Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch,Snack",All Children,Monterey County,10/31/2020,Emily,Emily Yang,Vetted,10/31/2020 1:43am,Emily Yang,
George C. Marshall Elementary School,Monterey Peninsula Unified,4749,Grab and go meals. No ID or student name needed.,,Comidas para llevar. No se requiere identificación ni el nombre del estudiante. ,300 Normandy Rd,300 Normandy Rd,Seaside,93955,36.6365387,-121.8068033,https://www.mpusd.net/apps/pages/index.jsp?uREC_ID=1012823&type=d&pREC_ID=1321388,jhull@montereycoe.org,Open,,Curbside Pickup,Free,School Meals,,Monterey Peninsula Unified Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch,Snack",All Children,Monterey County,10/31/2020,Emily,Emily Yang,Vetted,10/31/2020 1:43am,Emily Yang,
Olson Elementary,Monterey Peninsula Unified,4750,Grab and go meals. No ID or student name needed.,,Comidas para llevar. No se requiere identificación ni el nombre del estudiante. ,261 Beach Rd,261 Beach Rd,Marina,93933,36.6917334,-121.7928263,https://www.mpusd.net/apps/pages/index.jsp?uREC_ID=1012823&type=d&pREC_ID=1321388,jhull@montereycoe.org,Open,,Curbside Pickup,Free,School Meals,,Monterey Peninsula Unified Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch,Snack",All Children,Monterey County,10/31/2020,Emily,Emily Yang,Vetted,10/31/2020 1:43am,Emily Yang,
Ord Terrace Elementary,Monterey Peninsula Unified,4751,Grab and go meals. No ID or student name needed.,,Comidas para llevar. No se requiere identificación ni el nombre del estudiante. ,1755 La Salle Ave,1755 La Salle Ave,Seaside,93955,36.6167133,-121.8264248,https://www.mpusd.net/apps/pages/index.jsp?uREC_ID=1012823&type=d&pREC_ID=1321388,jhull@montereycoe.org,Open,,Curbside Pickup,Free,School Meals,,Monterey Peninsula Unified Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch,Snack",All Children,Monterey County,10/31/2020,Emily,Emily Yang,Vetted,10/31/2020 1:43am,Emily Yang,
Los Arboles Middle,Monterey Peninsula Unified,4752,Grab and go meals. No ID or student name needed.,,Comidas para llevar. No se requiere identificación ni el nombre del estudiante. ,294 Hillcrest Ave,294 Hillcrest Ave,Marina,93933,36.6795021,-121.7976695,https://www.mpusd.net/apps/pages/index.jsp?uREC_ID=1012823&type=d&pREC_ID=1321388,jhull@montereycoe.org,Open,,Curbside Pickup,Free,School Meals,,Monterey Peninsula Unified Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch,Snack",All Children,Monterey County,10/31/2020,Emily,Emily Yang,Vetted,10/31/2020 1:43am,Emily Yang,
Seaside Middle,Monterey Peninsula Unified,4753,Grab and go meals. No ID or student name needed.,,Comidas para llevar. No se requiere identificación ni el nombre del estudiante. ,999 Coe Ave,999 Coe Ave,Seaside,93955,36.6217475,-121.8228365,https://www.mpusd.net/apps/pages/index.jsp?uREC_ID=1012823&type=d&pREC_ID=1321388,jhull@montereycoe.org,Open,,Curbside Pickup,Free,School Meals,,Monterey Peninsula Unified Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch,Snack",All Children,Monterey County,10/31/2020,Emily,Emily Yang,Vetted,10/31/2020 1:43am,Emily Yang,
Monterey High,Monterey Peninsula Unified,4754,Grab and go meals. No ID or student name needed.,,Comidas para llevar. No se requiere identificación ni el nombre del estudiante. ,101 Herrmann Dr,101 Herrmann Dr,Monterey,93940,36.5951152,-121.900182,https://www.mpusd.net/apps/pages/index.jsp?uREC_ID=1012823&type=d&pREC_ID=1321388,jhull@montereycoe.org,Open,,Curbside Pickup,Free,School Meals,,Monterey Peninsula Unified Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch,Snack",All Children,Monterey County,10/31/2020,Emily,Emily Yang,Vetted,10/31/2020 1:43am,Emily Yang,
Seaside High,Monterey Peninsula Unified,4755,Grab and go meals. No ID or student name needed.,,Comidas para llevar. No se requiere identificación ni el nombre del estudiante. ,2200 Noche Buena St,2200 Noche Buena St,Seaside,93955,36.6217032,-121.8378765,https://www.mpusd.net/apps/pages/index.jsp?uREC_ID=1012823&type=d&pREC_ID=1321388,jhull@montereycoe.org,Open,,Curbside Pickup,Free,School Meals,,Monterey Peninsula Unified Schools,"Monday, Tuesday, Wednesday, Thursday, Friday",12:00 PM,2:00 PM,,,,,,,,"Breakfast,Lunch,Snack",All Children,Monterey County,10/31/2020,Emily,Emily Yang,Vetted,10/31/2020 1:43am,Emily Yang,
Prunedale Elementary School,North Monterey County Unified,4756,"Free breakfast and lunch FREE for all youth 18 and under. If a student, please bring your student ID to receive 5 days of meals (5 lunches and dinners).",,"Desayuno y almuerzo gratis GRATIS para todos los jóvenes menores de 18 años. Si es estudiante, por favor traiga su identificación de estudiante para recibir 5 días de comidas (5 almuerzos y cenas).",17719 Pesante Road,17719 Pesante Road,Salinas,93901,36.6677,-121.6596,https://www.nmcusd.org/Page/142,sara_doherty@nmcusd.org,Open,,Curbside Pickup,Free,School Meals,(831) 632-0290,Prunedale Elementary School,Monday,11:00 AM,1:00 PM,,,,,,,,"Lunch,Breakfast,Dinner",All Children,,11/9/2020,Ryan,Ryan Lee,Vetted,11/12/2020 4:48am,Micah Trautwein,Farmers to Families
Castroville Elementary School,North Monterey County Unified,4757,"Free breakfast and lunch FREE for all youth 18 and under. If a student, please bring your student ID to receive 5 days of meals (5 lunches and dinners).",,"Desayuno y almuerzo gratis GRATIS para todos los jóvenes menores de 18 años. Si es estudiante, por favor traiga su identificación de estudiante para recibir 5 días de comidas (5 almuerzos y cenas).",11161 Merritt Street,11161 Merritt Street,Castroville,95012,36.7630297,-121.7542348,https://www.nmcusd.org/Page/142,sara_doherty@nmcusd.org,Open,,Curbside Pickup,Free,School Meals,(831) 632-0290,Castroville Elementary School,Monday,11:00 AM,1:00 PM,,,,,,,,"Lunch,Breakfast,Dinner",All Children,,11/9/2020,Ryan,Ryan Lee,Vetted,11/12/2020 4:48am,Micah Trautwein,Farmers to Families
North Monterey County High School,North Monterey County Unified,4758,"Free breakfast and lunch FREE for all youth 18 and under. If a student, please bring your student ID to receive 5 days of meals (5 lunches and dinners).",,"Desayuno y almuerzo gratis GRATIS para todos los jóvenes menores de 18 años. Si es estudiante, por favor traiga su identificación de estudiante para recibir 5 días de comidas (5 almuerzos y cenas).",13990 Castroville Blvd,13990 Castroville Blvd,Castroville,95012,36.7781973,-121.7367755,https://www.nmcusd.org/Page/142,sara_doherty@nmcusd.org,Open,,Curbside Pickup,Free,School Meals,(831) 632-0290,North Monterey County High School,Monday,11:00 AM,1:00 PM,Monday,5:00 PM - 7:00 PM,,,,,,"Lunch,Breakfast,Dinner",All Children,,11/9/2020,Ryan,Ryan Lee,Vetted,11/12/2020 4:48am,Micah Trautwein,Farmers to Families
Pacific Grove High School,Pacific Grove Unified,4759,"Children, parents or guardians may pick up meals for child(ren) / siblings. Please wear face masks / coverings when picking up meals.

Free school meals for any children aged 18 and under through June 30th, 2021.",,"Los niños, padres o tutores pueden recoger las comidas para los niños y sus hermanos. Por favor, use mascarillas o cubiertas cuando recoja las comidas. 

Seguiremos ofreciendo comidas escolares gratuitas para todos los niños menores de 18 años hasta el 30 de junio de 2021.",615 Sunset Drive,615 Sunset Drive,Pacific Grove,93950,36.6122004,-121.9249294,https://www.pgusd.org/Departments/Food-Services/index.html,slip@pgusd.org,Open,,Curbside Pickup,Free,School Meals,(831) 646-6521,Pacific Grove Unified - All Schools,"Monday, Tuesday, Wednesday",11:45 AM,1:00 PM,,,,,,,,"Lunch,Breakfast",Any student 18 or under,,11/9/2020,Ryan,Ryan Lee,Vetted,11/12/2020 4:47am,Micah Trautwein,
Robert Down Elementary,Pacific Grove Unified,4760,"Children, parents or guardians may pick up meals for child(ren) / siblings. Please wear face masks / coverings when picking up meals.

Free school meals for any children aged 18 and under through June 30th, 2021.",,"Los niños, padres o tutores pueden recoger las comidas para los niños y sus hermanos. Por favor, use mascarillas o cubiertas cuando recoja las comidas. 

Seguiremos ofreciendo comidas escolares gratuitas para todos los niños menores de 18 años hasta el 30 de junio de 2021.",485 Pine Avenue,485 Pine Avenue,Pacific Grove,93950,36.618273,-121.917136,https://www.pgusd.org/Departments/Food-Services/index.html,slip@pgusd.org,Open,,Curbside Pickup,Free,School Meals,(831) 646-6521,Pacific Grove Unified - All Schools,"Monday, Tuesday, Wednesday",11:45 AM,1:00 PM,,,,,,,,"Lunch,Breakfast",Any student 18 or under,,11/9/2020,Ryan,Ryan Lee,Vetted,11/12/2020 4:47am,Micah Trautwein,
Arkwright Court,Pacific Grove Unified,4761,"Children, parents or guardians may pick up meals for child(ren) / siblings. Please wear face masks / coverings when picking up meals.

Free school meals for any children aged 18 and under through June 30th, 2021.",,"Los niños, padres o tutores pueden recoger las comidas para los niños y sus hermanos. Por favor, use mascarillas o cubiertas cuando recoja las comidas. 

Seguiremos ofreciendo comidas escolares gratuitas para todos los niños menores de 18 años hasta el 30 de junio de 2021.",Arkwright Ct,Arkwright Ct,Pacific Grove,93950,36.6059278,-121.9261881,https://www.pgusd.org/Departments/Food-Services/index.html,slip@pgusd.org,Open,,Curbside Pickup,Free,School Meals,(831) 646-6521,Pacific Grove Unified - All Schools,"Monday, Tuesday, Wednesday",11:45 AM,1:00 PM,,,,,,,,"Lunch,Breakfast",Any student 18 or under,,11/9/2020,Ryan,Ryan Lee,Vetted,11/12/2020 4:47am,Micah Trautwein,
Boronda Meadows Elementary,Salinas City Elementary,4762,"For 2020-2021, we will offer meals to all students at no charge at all of the District’s schools, regardless of income.

Any SCESD student, ages 1-18, is allowed to receive meals from any of our fourteen school sites. Provide child name and school on site. 
",,"Para 2020-2021, ofreceremos comidas a todos los estudiantes sin cargo en todas las escuelas del distrito, no importa sus ingresos.

Cualquier estudiante de SCESD, de 1 a 18 años, puede recibir comidas de cualquiera de nuestras escuelas. Cuando vaya a recoger las comidas, debe traer el nombre del niño y su escuela. ",915 Larkin Dr,915 Larkin Dr,Salinas,93901,36.692136,-121.664579,https://www.salinascityesd.org/food-services-2,jhull@montereycoe.org,Open,,In person,Free,School Meals,(831) 753-5618,SCESD -all schools,"Monday, Thursday",10:00 AM,1:00 PM,"Thursday, Monday",7:30 AM - 8:30 AM,,,,,,"Lunch,Breakfast",Only Students Enrolled in District,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:40pm,Andy Chen,
Dias Boronda,Salinas City Elementary,4763,"For 2020-2021, we will offer meals to all students at no charge at all of the District’s schools, regardless of income.

Any SCESD student, ages 1-18, is allowed to receive meals from any of our fourteen school sites. Provide child name and school on site. 
",,"Para 2020-2021, ofreceremos comidas a todos los estudiantes sin cargo en todas las escuelas del distrito, no importa sus ingresos.

Cualquier estudiante de SCESD, de 1 a 18 años, puede recibir comidas de cualquiera de nuestras escuelas. Cuando vaya a recoger las comidas, debe traer el nombre del niño y su escuela. ",1114 Fontes Ln,1114 Fontes Ln,Salinas,93907,36.696611,-121.674208,https://www.salinascityesd.org/food-services-2,jhull@montereycoe.org,Closed,,In person,Free,School Meals,(831) 753-5618,SCESD -all schools,"Monday, Thursday",10:00 AM,1:00 PM,"Thursday, Monday",7:30 AM - 8:30 AM,,,,,,"Lunch,Breakfast",Only Students Enrolled in District,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:40pm,Andy Chen,
El Gabilan Elementary,Salinas City Elementary,4764,"For 2020-2021, we will offer meals to all students at no charge at all of the District’s schools, regardless of income.

Any SCESD student, ages 1-18, is allowed to receive meals from any of our fourteen school sites. Provide child name and school on site. 
",,"Para 2020-2021, ofreceremos comidas a todos los estudiantes sin cargo en todas las escuelas del distrito, no importa sus ingresos.

Cualquier estudiante de SCESD, de 1 a 18 años, puede recibir comidas de cualquiera de nuestras escuelas. Cuando vaya a recoger las comidas, debe traer el nombre del niño y su escuela. ",1256 Linwood St,1256 Linwood St,Salinas,93901,36.6677,-121.6596,https://www.salinascityesd.org/food-services-2,jhull@montereycoe.org,Open,,In person,Free,School Meals,(831) 753-5618,SCESD -all schools,"Monday, Thursday",10:00 AM,1:00 PM,"Thursday, Monday",7:30 AM - 8:30 AM,,,,,,"Lunch,Breakfast",Only Students Enrolled in District,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:39pm,Andy Chen,
Kammann Elementary,Salinas City Elementary,4765,"For 2020-2021, we will offer meals to all students at no charge at all of the District’s schools, regardless of income.

Any SCESD student, ages 1-18, is allowed to receive meals from any of our fourteen school sites. Provide child name and school on site. 
",,"Para 2020-2021, ofreceremos comidas a todos los estudiantes sin cargo en todas las escuelas del distrito, no importa sus ingresos.

Cualquier estudiante de SCESD, de 1 a 18 años, puede recibir comidas de cualquiera de nuestras escuelas. Cuando vaya a recoger las comidas, debe traer el nombre del niño y su escuela. ",521 Rochex Ave,521 Rochex Ave,Salinas,93906,36.700284,-121.6578672,https://www.salinascityesd.org/food-services-2,jhull@montereycoe.org,Open,,In person,Free,School Meals,(831) 753-5618,SCESD -all schools,"Monday, Thursday",10:00 AM,1:00 PM,"Thursday, Monday",7:30 AM - 8:30 AM,,,,,,"Lunch,Breakfast",Only Students Enrolled in District,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:39pm,Andy Chen,
Los Padres Elementary,Salinas City Elementary,4766,"For 2020-2021, we will offer meals to all students at no charge at all of the District’s schools, regardless of income.

Any SCESD student, ages 1-18, is allowed to receive meals from any of our fourteen school sites. Provide child name and school on site. 
",,"Para 2020-2021, ofreceremos comidas a todos los estudiantes sin cargo en todas las escuelas del distrito, no importa sus ingresos.

Cualquier estudiante de SCESD, de 1 a 18 años, puede recibir comidas de cualquiera de nuestras escuelas. Cuando vaya a recoger las comidas, debe traer el nombre del niño y su escuela. ",1130 John St,1130 John St,Salinas,93912,36.3543,-121.1329,https://www.salinascityesd.org/food-services-2,jhull@montereycoe.org,Open,,In person,Free,School Meals,(831) 753-5618,SCESD -all schools,"Monday, Thursday",10:00 AM,1:00 PM,"Thursday, Monday",7:30 AM - 8:30 AM,,,,,,"Lunch,Breakfast",Only Students Enrolled in District,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:39pm,Andy Chen,
Mission Park Elementary,Salinas City Elementary,4767,"Bus Stop Locations:
In addition to our school-sites locations, for students who regularly ride the bus, we will provide meals Monday AND Thursdays from 1:30 pm to 2:15 pm at these specific bus stop locations:

* Hebbron Heights
* Laurel Heights
* Lunsford Street
* Calle Cebu Street

Additional Information:
On Mondays each child age 1-18 will receive meals for Monday, Tuesday and Wednesdays. On Thursdays each child age 1-18 will receive meals for Thursday and Fridays.

Meals are provided cold and may need to be heated per instructions.  For food safety meals must be placed immediately in the freezer or refrigerator after pickup.  Meals are intended for the above meal days only.  Meals should not be kept for the weekend.

Children do not need to be present, however a one-time form will need to be completed with each child’s name and age and presented for verification.  

Masks must be worn when picking up meals.  If you have any questions, please do not hesitate to call the Food Service Office at (831)753-5618.",checked,"Para 2020-2021, ofreceremos comidas a todos los estudiantes sin cargo en todas las escuelas del distrito, no importa sus ingresos.

Cualquier estudiante de SCESD, de 1 a 18 años, puede recibir comidas de cualquiera de nuestras escuelas. Cuando vaya a recoger las comidas, debe traer el nombre del niño y su escuela. ",403 W. Acacia St,403 W. Acacia St,Salinas,93901,36.6671609,-121.6676767,https://www.salinascityesd.org/food-services-2,jhull@montereycoe.org,Open,,In person,Free,School Meals,(831) 753-5618,SCESD -all schools,"Monday, Thursday",10:00 AM,1:00 PM,"Thursday, Monday",7:30 AM - 8:30 AM,,,,,,"Lunch,Breakfast",Only Students Enrolled in District,,11/3/2020,Andy,Andy Chen,Vetted,11/2/2020 11:39pm,Andy Chen,
